Sr no,A1( Trnsverse),A2( Trnsverse) ,B1 (Trnsverse),B2 (Trnsverse),C1 (Trnsverse),C2 (Trnsverse),A (longitudnal),B (longitudnal),Rat,Ral
1,0.21,0.105,0.214,0.144,0.229,0.182,0.213,0.51,0.180666667,0.3615
2,0.184,0.095,0.146,0.101,0.208,0.193,0.314,0.435,0.1545,0.3745
3,0.58,0.574,0.515,0.385,0.327,0.352,0.57,0.66,0.4555,0.615
4,0.267,0.208,0.227,0.249,0.233,0.117,0.197,0.37,0.216833333,0.2835
5,0.266,0.123,0.263,0.144,0.215,0.128,0.506,0.439,0.189833333,0.4725
6,0.126,0.114,0.196,0.298,0.28,0.268,0.264,0.325,0.213666667,0.2945
7,0.215,0.342,0.26,0.176,0.232,0.177,0.225,0.4,0.233666667,0.3125
8,0.226,0.09,0.276,0.132,0.185,0.113,0.286,0.444,0.170333333,0.365
9,0.219,0.138,0.227,0.226,0.153,0.118,0.241,0.315,0.180166667,0.278
10,0.232,0.167,0.224,0.12,0.197,0.208,0.096,0.231,0.191333333,0.1635
11,0.205,0.155,0.185,0.191,0.215,0.125,0.275,0.331,0.179333333,0.303
12,0.239,0.94,0.17,0.083,0.172,0.12,0.206,0.309,0.287333333,0.2575
13,0.132,0.132,0.147,0.075,0.135,0.083,0.129,0.251,0.117333333,0.19
14,0.165,0.125,0.205,0.083,0.156,0.181,0.241,0.335,0.1525,0.288
15,0.136,0.086,0.185,0.084,0.23,0.11,0.336,0.322,0.1385,0.329
16,0.589,0.615,0.503,0.535,0.61,0.465,0.58,0.63,0.552833333,0.605
17,0.142,0.213,0.215,0.216,0.139,0.26,0.2,0.273,0.1975,0.2365
18,0.344,0.302,0.56,0.177,0.844,0.144,0.828,0.516,0.395166667,0.672
19,0.135,0.09,0.095,0.085,0.11,0.11,0.115,0.17,0.104166667,0.1425
20,0.165,0.161,0.202,0.13,0.218,0.151,0.144,0.35,0.171166667,0.247
21,0.231,0.064,0.26,0.14,0.212,0.126,0.303,0.445,0.172166667,0.374
22,0.137,0.083,0.105,0.094,0.113,0.075,0.098,0.124,0.101166667,0.111
23,0.445,0.44,0.525,0.465,0.62,0.401,0.66,0.531,0.482666667,0.5955
24,0.525,0.285,0.32,0.29,0.55,0.45,0.625,0.515,0.403333333,0.57
25,0.125,0.108,0.156,0.086,0.123,0.096,0.116,0.158,0.115666667,0.137
26,0.184,0.051,0.24,0.14,0.198,0.07,0.295,0.258,0.147166667,0.2765
27,0.325,0.29,0.38,0.331,0.345,0.359,0.585,0.49,0.338333333,0.5375
